INFO:root:Train set: Epoch: [102/300]	Losses: tot:1.30283668	hm:0.44248581	wh:0.56326955	reg:0.12893797	dep:0.00684247	tracking:0.66824348	
INFO:root:Train set: Epoch: [103/300]	Losses: tot:1.26885208	hm:0.43612446	wh:0.56637208	reg:0.12923201	dep:0.00671972	tracking:0.64013868	
INFO:root:Train set: Epoch: [104/300]	Losses: tot:1.20062584	hm:0.42220984	wh:0.53900737	reg:0.12766139	dep:0.00660582	tracking:0.59024805	
INFO:root:Train set: Epoch: [105/300]	Losses: tot:1.21593035	hm:0.42385356	wh:0.5368625	reg:0.12736487	dep:0.00645588	tracking:0.60456979	
INFO:root:Train set: Epoch: [106/300]	Losses: tot:1.31733169	hm:0.44743904	wh:0.57701526	reg:0.13132181	dep:0.00677974	tracking:0.67408958	
INFO:root:Train set: Epoch: [107/300]	Losses: tot:1.30011702	hm:0.45545947	wh:0.5766553	reg:0.13093341	dep:0.00670151	tracking:0.6493571	
INFO:root:Train set: Epoch: [108/300]	Losses: tot:1.23462994	hm:0.43054337	wh:0.56056482	reg:0.12946045	dep:0.00665106	tracking:0.61191858	
INFO:root:Train set: Epoch: [109/300]	Losses: tot:1.19329161	hm:0.4214048	wh:0.53899728	reg:0.12794383	dep:0.00646421	tracking:0.58357904	
INFO:root:Train set: Epoch: [110/300]	Losses: tot:1.15110831	hm:0.41621041	wh:0.53098907	reg:0.12628979	dep:0.00641805	tracking:0.54909115	
INFO:root:Val set: Epoch: [110/300]	Losses: tot:0.87847513	hm:0.35204915	wh:0.41885854	reg:0.10755293	dep:0.00447954	tracking:0.37250766	
INFO:root:Train set: Epoch: [111/300]	Losses: tot:1.25838762	hm:0.44023024	wh:0.5558146	reg:0.1285385	dep:0.00660019	tracking:0.62743724	
INFO:root:Train set: Epoch: [112/300]	Losses: tot:1.25120067	hm:0.43130258	wh:0.57034691	reg:0.12894161	dep:0.00663078	tracking:0.62729101	
INFO:root:Train set: Epoch: [113/300]	Losses: tot:1.2769545	hm:0.43198727	wh:0.55203089	reg:0.12794793	dep:0.00653998	tracking:0.65527623	
INFO:root:Train set: Epoch: [114/300]	Losses: tot:1.18023304	hm:0.41672482	wh:0.52131112	reg:0.12627518	dep:0.00646691	tracking:0.57863501	
INFO:root:Train set: Epoch: [115/300]	Losses: tot:1.2402804	hm:0.43243814	wh:0.544677	reg:0.12883407	dep:0.00654009	tracking:0.6180004	
INFO:root:Train set: Epoch: [116/300]	Losses: tot:1.21017244	hm:0.42049623	wh:0.5395014	reg:0.12619492	dep:0.00650679	tracking:0.60302436	
INFO:root:Train set: Epoch: [117/300]	Losses: tot:1.19015174	hm:0.42375395	wh:0.55942491	reg:0.12740138	dep:0.0065229	tracking:0.57653101	
INFO:root:Train set: Epoch: [118/300]	Losses: tot:1.21793144	hm:0.41958339	wh:0.53988432	reg:0.12704438	dep:0.00651674	tracking:0.6107985	
INFO:root:Train set: Epoch: [119/300]	Losses: tot:1.18853592	hm:0.41701186	wh:0.53197146	reg:0.12602571	dep:0.00636519	tracking:0.58593602	
INFO:root:Train set: Epoch: [120/300]	Losses: tot:1.19911953	hm:0.41806426	wh:0.53309161	reg:0.12715333	dep:0.00653341	tracking:0.59405938	
INFO:root:Val set: Epoch: [120/300]	Losses: tot:0.86922054	hm:0.35129587	wh:0.42790743	reg:0.10592175	dep:0.00419298	tracking:0.36501919	
INFO:root:Train set: Epoch: [121/300]	Losses: tot:1.20771009	hm:0.42586512	wh:0.53883245	reg:0.12731454	dep:0.00648754	tracking:0.59415964	
INFO:root:Train set: Epoch: [122/300]	Losses: tot:1.2469601	hm:0.42317217	wh:0.53392616	reg:0.12588706	dep:0.00638621	tracking:0.63812203	
INFO:root:Train set: Epoch: [123/300]	Losses: tot:1.16171081	hm:0.41419337	wh:0.51395335	reg:0.1250033	dep:0.00644341	tracking:0.56467539	
INFO:root:Train set: Epoch: [124/300]	Losses: tot:1.20996508	hm:0.41660381	wh:0.5275791	reg:0.12416358	dep:0.00630695	tracking:0.61013284	
INFO:root:Train set: Epoch: [125/300]	Losses: tot:1.21354935	hm:0.42525766	wh:0.54307572	reg:0.12626619	dep:0.00656894	tracking:0.60114898	
INFO:root:Train set: Epoch: [126/300]	Losses: tot:1.21853561	hm:0.41907238	wh:0.52814629	reg:0.12666589	dep:0.00638256	tracking:0.61360014	
INFO:root:Train set: Epoch: [127/300]	Losses: tot:1.18642001	hm:0.42445009	wh:0.54100151	reg:0.12655474	dep:0.00637551	tracking:0.57493952	
INFO:root:Train set: Epoch: [128/300]	Losses: tot:1.11662576	hm:0.40611917	wh:0.52053998	reg:0.12399264	dep:0.00626925	tracking:0.5281907	
INFO:root:Train set: Epoch: [129/300]	Losses: tot:1.14956104	hm:0.40757972	wh:0.50522189	reg:0.12574419	dep:0.00634143	tracking:0.55937352	
INFO:root:Train set: Epoch: [130/300]	Losses: tot:1.14089306	hm:0.40679441	wh:0.51043339	reg:0.12394808	dep:0.00621548	tracking:0.55289175	
INFO:root:Val set: Epoch: [130/300]	Losses: tot:0.86661246	hm:0.35354975	wh:0.42691858	reg:0.1044686	dep:0.00416825	tracking:0.36173401	
INFO:root:Train set: Epoch: [131/300]	Losses: tot:1.17833701	hm:0.40958794	wh:0.51860418	reg:0.12608568	dep:0.0061635	tracking:0.58463946	
INFO:root:Train set: Epoch: [132/300]	Losses: tot:1.14334608	hm:0.4060243	wh:0.49501035	reg:0.12389387	dep:0.00611914	tracking:0.55780775	
INFO:root:Train set: Epoch: [133/300]	Losses: tot:1.20708451	hm:0.41116984	wh:0.51818889	reg:0.12446352	dep:0.00626232	tracking:0.61336994	
INFO:root:Train set: Epoch: [134/300]	Losses: tot:1.15489136	hm:0.39773048	wh:0.51668373	reg:0.12343916	dep:0.00612309	tracking:0.57593026	
INFO:root:Train set: Epoch: [135/300]	Losses: tot:1.14500726	hm:0.40502866	wh:0.51400304	reg:0.12395304	dep:0.00632575	tracking:0.55829951	
INFO:root:Train set: Epoch: [136/300]	Losses: tot:1.1465168	hm:0.40620456	wh:0.50321374	reg:0.12352306	dep:0.00619255	tracking:0.56027525	
INFO:root:Train set: Epoch: [137/300]	Losses: tot:1.13081428	hm:0.40086034	wh:0.5131726	reg:0.12375103	dep:0.00608483	tracking:0.54880082	
